subid,looking_time_IDS,looking_time_ADS,age_days,child_gender,child_race_ethnicity,multilingual,CG_years_ed,child_N_sibs,CG_gender
mb_042,4.783666667,8.523666667,201,M,Caucasian,N,18,0,F
mb_043,10.115,8.300875,266,F,Multiracial,Y,18,1,M
mb_044,8.144125,8.56375,186,F,Caucasian,Y,18,1,F
mb_045,6.039375,3.630875,313,F,Caucasian,N,16,0,F
mb_046,7.03,6.563125,373,M,Caucasian,N,18,0,F
mb_047,7.734125,4.339,378,F,Caucasian,Y,21,1,F
mb_048,9.526625,6.03125,202,M,Caucasian,Y,21,0,F
mb_049,7.85,4.908625,356,M,Multiracial,N,16,1,F
mb_050,6.837,6.06275,302,F,Multiracial,Y,16,1,F
mb_051,7.208625,6.321,294,M,Caucasian,Y,18,0,M
mb_052,5.9345,5.07775,383,M,Multiracial,Y,20,0,F
mb_053,4.632857143,2.977833333,370,F,Caucasian,Y,18,1,F
mb_054,11.303625,11.431625,230,F,Caucasian,Y,18,0,F
mb_055,2.84725,3.697375,376,M,Caucasian,N,18,0,F
mb_056,6.33125,8.18775,237,F,Caucasian,N,21,0,M
mb_057,6.437857143,6.042166667,457,M,Caucasian,Y,21,1,F
mb_058,4.15625,4.3875,433,M,Caucasian,N,18,0,M
mb_059,9.339125,8.19825,312,M,Caucasian,N,16,1,F
MB_06,9.5765,8.747625,267,F,,N,20,0,F
mb_060,9.387,7.31875,223,M,Caucasian,N,18,1,F
mb_061,16.03475,11.4918,224,F,Caucasian,N,18,0,F
mb_062,9.644625,9.382375,236,M,Caucasian,N,21,1,F
mb_063,8.94225,5.908625,431,F,Caucasian,N,18,0,F
mb_064,9.946,6.6235,330,F,Caucasian,N,18,0,F
mb_065,7.119625,6.69025,438,F,Caucasian,N,12,0,F
mb_066,2.161166667,1.239,453,F,Caucasian,N,18,1,M
mb_067,5.8424,4.94425,450,F,Caucasian,N,14,0,F
mb_068,12.199,2.091,420,M,Caucasian,N,16,1,F
mb_069,6.919375,4.343875,440,M,Caucasian,Y,16,0,F
MB_07,9.583666667,5.756333333,239,F,,N,16,1,F
mb_070,8.467857143,5.8675,413,F,Caucasian,N,14,0,F
mb_071,4.761375,6.697625,189,M,Caucasian,N,16,1,F
mb_072,6.5105,3.6855,452,M,Caucasian,Y,16,1,F
mb_073,4.724,2.3515,421,M,Caucasian,N,16,1,F
mb_074,7.924833333,6.427,454,M,Caucasian,Y,16,0,F
mb_075,7.995375,5.803875,445,F,Black,N,16,1,F
mb_076,9.546375,4.911375,286,F,Caucasian,N,16,0,F
mb_077,7.109375,5.667625,348,F,Multiracial,N,18,1,F
mb_078,9.391,4.295571429,417,F,Caucasian,N,16,0,F
mb_079,8.756875,5.8825,221,M,Caucasian,N,16,1,F
mb_080,6.622875,3.743375,386,M,Caucasian,N,18,1,F
mb_081,7.8425,3.0936,401,M,Caucasian,N,16,0,F
mb_082,5.444,0.858,382,M,Caucasian,N,16,2,
mb_083,5.654375,4.488625,437,F,,N,,4,
mb_084,7.344375,5.444625,296,M,Caucasian,N,16,0,F
mb_085,4.5875,3.34475,262,F,Caucasian,N,16,2,F
mb_086,5.544,4.789,187,M,Caucasian,N,16,2,M
mb_087,3.96825,3.6006,321,M,Caucasian,N,21,1,F
mb_088,6.580375,7.610875,309,M,Caucasian,N,16,0,M
mb_089,7.7965,5.05425,294,F,Caucasian,N,18,1,F
MB_09,5.468125,7.597375,252,M,,N,20,1,F
mb_090,6.888,3.915125,195,M,Multiracial,Y,14,0,F
mb_091,10.74425,8.173875,288,F,Caucasian,N,16,1,F
mb_092,12.0715,9.566875,194,M,Caucasian,N,16,1,F
mb_093,7.1505,5.671,265,F,Caucasian,Y,16,0,M
mb_094,4.379,5.337625,205,F,Caucasian,N,16,1,F
mb_095,5.711571429,6.443571429,313,M,Caucasian,Y,21,0,F
mb_096,18.021,9.7685,194,F,Caucasian,N,16,0,M
mb_097,2.011625,6.912875,230,M,Caucasian,N,19,0,F
mb_098,8.8035,6.755,188,M,Caucasian,Y,16,3,F
MB_10,7.924625,6.9945,237,M,,N,14,1,F
MB_11,6.626,3.900375,264,M,,Y,20,1,F
MB_12,14.41975,12.341375,183,F,,N,20,0,F
MB_13,7.534833333,8.259142857,230,F,,N,14,0,F
MB_14,5.308,5.093375,189,F,,N,20,0,F
MB_15,4.107666667,9.079333333,209,M,,Y,14,0,F
MB_16,9.054375,6.17975,250,M,,N,14,0,F
MB_17,3.900166667,3.7472,240,M,,Y,20,1,F
MB_18,17.22233333,15.61733333,252,M,,N,14,0,F
MB_19,8.77525,10.801125,247,F,,N,20,0,F
MB_20,10.95725,9.73225,209,M,,N,16,0,F
MB_21,8.70675,9.670125,255,M,,N,14,0,F
MB_22,9.055875,10.64075,254,M,,N,16,0,F
MB_23,7.02025,7.25025,201,M,,N,14,0,F
MB_24,7.445714286,4.887285714,261,M,,N,20,0,F
MB_25,10.084,10.054375,211,M,,N,20,0,F
MB_26,7.390875,5.881125,241,M,,N,20,0,F
MB_27,8.254125,6.540625,188,F,,Y,16,0,F
MB_28,6.179625,9.2545,235,M,,N,14,1,F
MB_29,7.4995,7.763,261,F,,N,14,0,F
MB_30,8.693571429,6.336,223,F,,N,16,0,F
MB_31,11.680125,9.467,199,M,,Y,20,0,F
MB_32,7.78675,6.809625,283,F,,N,20,1,F
MB_33,11.251625,9.11075,233,F,,Y,20,1,F
MB_34,6.136875,5.540285714,194,F,,N,12,0,F
MB_35,9.535375,6.2105,187,F,,Y,14,0,F
MB_36,8.38125,8.01825,215,M,,N,14,1,F
MB_37,7.665625,11.28875,183,F,,N,14,0,F
MB0901,7.4925,4.375,280,F,Caucasian,N,16,1,F
MB0902,7.89625,7.21375,277,F,Caucasian,N,16,1,F
MB0903,7.63625,5.4775,290,M,Caucasian,N,13,0,F
